name,location,address,tel,type,typecode,business_area,cityname,adname,pname,shopinfo,longitude,latitude
龙大婶饽饽铺,"116.411802,39.903229",台基厂大街16号,010-65129770,餐饮服务;糕饼店;糕饼店,050800,,北京市,东城区,北京市,0,116.411802,39.903229
紫光园(崇文门店),"116.412843,39.899486",东打磨厂7号宝鼎中心B座一层,19953405072,餐饮服务;中餐厅;清真菜馆,050121,,北京市,东城区,北京市,0,116.412843,39.899486
尹三豆汁(王府井喜悦店),"116.410208,39.909568",王府井大街301号王府井喜悦B1层,17313516569;19950501915,餐饮服务;冷饮店;冷饮店|餐饮服务;中餐厅;中餐厅,050700|050100,东单,北京市,东城区,北京市,0,116.410208,39.909568
温鼎府·海鲜火锅(前门23号院店),"116.401055,39.901156",前门东大街前门23号院内(正阳门东10米),010-65270128,餐饮服务;中餐厅;火锅店,050117,,北京市,东城区,北京市,0,116.401055,39.901156
方砖厂69号炸酱面(王府井喜悦店),"116.410559,39.909841",王府井喜悦购物中心负一层102内P012号,19520101523,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.410559,39.909841
潮府林苑·潮州菜(故宫店),"116.404869,39.909245",北库司胡同1号(天安门东地铁站B东北口步行340米),18518355380,餐饮服务;餐饮相关场所;餐饮相关,050000,王府井,北京市,东城区,北京市,0,116.404869,39.909245
大董(王府井喜悦购物中心店),"116.410662,39.909977",王府井大街301号喜悦购物中心5层,010-65288802;010-65288803,餐饮服务;中餐厅;特色/地方风味餐厅,050118,东单,北京市,东城区,北京市,0,116.410662,39.909977
百年前门铜锅涮肉(王府井喜悦7店),"116.410544,39.909836",北京城区地铁8号线王府井站E1口出喜悦购物中心B1层,17301286807;17310077112,餐饮服务;餐饮相关场所;餐饮相关,050000,东单,北京市,东城区,北京市,0,116.410544,39.909836
眉州东坡(新活馆店),"116.413403,39.900026",北京城区东打磨厂街7号新世界女子百货F1-F2层,010-53651112,餐饮服务;中餐厅;四川菜(川菜),050102,,北京市,东城区,北京市,0,116.413403,39.900026
丰泽园饭店(王府井店),"116.410710,39.910204",王府井大街301号王府井商厦5层(王府井图书大厦对面蜜雪冰城隔壁电梯上去),010-65211930,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.41071,39.910204
方砖厂69号炸酱面(崇文门店),"116.413225,39.899797",北京城区东打磨长街7号宝鼎中心A座(新活馆)南门,13261620659,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.413225,39.899797
大鸭梨烤鸭(王府井臻选店),"116.411003,39.910492",区王府井大街王府商厦四楼,010-65265505,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.411003,39.910492
湊湊火锅·茶憩(东方新天地店),"116.412058,39.909154",东环门街道王府井大街东方新天地地铁层FF02,010-85186998,餐饮服务;中餐厅;火锅店,050117,东单,北京市,东城区,北京市,1,116.412058,39.909154
52Piccolo餐厅(王府井喜悦店),"116.410660,39.909826",王府井喜悦购物中心(王府井地铁站E1口旁),13901318811;13910108897,餐饮服务;外国餐厅;意式菜品餐厅,050205,王府井,北京市,东城区,北京市,1,116.41066,39.909826
辉佐参鸡汤(王府井喜悦店),"116.410975,39.909693",王府井喜悦购物中心B1层102内P001号,17627067791,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.410975,39.909693
泰妃殿(北京首店),"116.410564,39.909900",王府井大街301号王府井喜悦购物中心G-6F-P007商铺,17779211033,餐饮服务;外国餐厅;外国餐厅,050200,东单,北京市,东城区,北京市,1,116.410564,39.9099
萨莉亚意式餐厅(新活馆店),"116.413761,39.899569",东打磨厂街7号新活馆三层(崇文门地铁站H西南口步行450米),010-67083255,餐饮服务;外国餐厅;意式菜品餐厅,050205,,北京市,东城区,北京市,1,116.413761,39.899569
北京宴(崇文门新世界店),"116.412344,39.898155",祈年大街8号北京新世界酒店内,010-53877900,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.412344,39.898155
元气寿司(东方新天地店),"116.412168,39.909461",东长安街1号东方新天地bb01b(王府井地铁站A东北口旁),010-85182320,餐饮服务;外国餐厅;日本料理,050202,东单,北京市,东城区,北京市,0,116.412168,39.909461
北平食府·臻品私宴(王府井店),"116.412555,39.910416",王府井大街218-1号北方佳苑二楼8号线王府井站E3口出,010-53602228;15300371292,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.412555,39.910416
喜家德鲍鱼水饺(东方广场店),"116.413506,39.909186",北京城区东长安街1号东方新天地LG层,15944675975,餐饮服务;中餐厅;特色/地方风味餐厅,050118,东单,北京市,东城区,北京市,0,116.413506,39.909186
南门涮肉(故宫王府井旗舰店),"116.407088,39.911704",南河沿大街华龙街6号楼2层201室,010-88893988;13161803319;17801675957,餐饮服务;中餐厅;火锅店,050117,东单,北京市,东城区,北京市,0,116.407088,39.911704
麦当劳(东单三条工美大厦店),"116.411810,39.910725",王府井大街200号工美大厦1层(王府井地铁站E3东北口旁),010-65120499;4008517517,餐饮服务;快餐厅;麦当劳,050302,东单,北京市,东城区,北京市,0,116.41181,39.910725
唐宫·粤菜海鲜(新侨店),"116.417223,39.901551",东郊民巷2号新侨饭店2-3楼(同仁医院北京医院),010-65129603;13911903138,餐饮服务;中餐厅;海鲜酒楼,050119,,北京市,东城区,北京市,0,116.417223,39.901551
新侨饭店·春晓餐厅,"116.416817,39.901641",北京城区东交民巷2号,010-65133366,餐饮服务;外国餐厅;西餐厅(综合风味),050201,,北京市,东城区,北京市,0,116.416817,39.901641
新侨饭店·春晓餐厅,"116.416817,39.901641",北京城区东交民巷2号,010-65133366,餐饮服务;外国餐厅;西餐厅(综合风味),050201,,北京市,东城区,北京市,0,116.416817,39.901641
方砖厂69号炸酱面(王府井食品商场店),"116.411530,39.911683",王府井大街186号食品商场3层,17801301130,餐饮服务;餐饮相关场所;餐饮相关,050000,东单,北京市,东城区,北京市,0,116.41153,39.911683
肯德基(建华店),"116.411471,39.911225",王府井大街192号(王府井地铁站E3东北口步行50米),18501259720,餐饮服务;快餐厅;肯德基,050301,东单,北京市,东城区,北京市,1,116.411471,39.911225
The Cheesecake Factory芝乐坊餐厅(王府中环东座店),"116.409890,39.912510",王府井大街269号王府中環东座4层415号商铺,010-65251238;010-65251703;13121892816,餐饮服务;外国餐厅;西餐厅(综合风味),050201,王府井,北京市,东城区,北京市,0,116.40989,39.91251
全聚德(王府井店),"116.412032,39.912163",帅府园胡同9号,010-65228384;010-65253310,餐饮服务;中餐厅;老字号|餐饮服务;中餐厅;北京菜,050116|050111,东单,北京市,东城区,北京市,0,116.412032,39.912163
门框胡同百年卤煮 崇文门店,"116.417421,39.900617",北京城区崇文门西大街2-3号(崇文门地铁站C东南口步行140米),13691142564,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.417421,39.900617
四季民福烤鸭店(前门店),"116.397659,39.896269",大栅栏街1号(和珠宝市街交汇处),010-63013868;18515883132,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,1,116.397659,39.896269
南门涮肉(东单店),"116.421739,39.907405",建国门内大街26号新闻大厦北门3层,010-85628899,餐饮服务;中餐厅;火锅店,050117,,北京市,东城区,北京市,0,116.421739,39.907405
护国寺小吃(肉市街店),"116.398690,39.898374",前门大街与步行街交叉口东北100米,13693674989,餐饮服务;快餐厅;快餐厅,050300,,北京市,东城区,北京市,1,116.39869,39.898374
方砖厂69号炸酱面( 前门大街店 ),"116.397916,39.896432",前门东路前门大街45号(距离地铁2/8号线前门站G口步行510m),13269625580,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.397916,39.896432
全聚德烤鸭店(前门店),"116.398244,39.896630",前门大街30号,010-67011379;010-67013570,餐饮服务;中餐厅;北京菜,050111,,北京市,东城区,北京市,0,116.398244,39.89663
尹三豆汁(前门旗舰店),"116.397402,39.896167",前门大栅栏街1号一楼(前门地铁站I西南口步行390米),010-65885665,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.397402,39.896167
四季民福烤鸭店(王府井东安门店),"116.408131,39.915563",东安门大街53号万程华府酒店1楼,010-65238571;13269367120,餐饮服务;中餐厅;特色/地方风味餐厅,050118,灯市口,北京市,东城区,北京市,0,116.408131,39.915563
紫光园(前门大栅栏店),"116.395569,39.895805",大栅栏商业街31号,010-63156929;15515145972,餐饮服务;餐饮相关场所;餐饮相关,050000,珠市口,北京市,西城区,北京市,0,116.395569,39.895805
浩海火烧云傣家菜(东安市场店),"116.411899,39.913872",王府井大街138号APM商场6层L619号,010-65167780,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,1,116.411899,39.913872
海底捞火锅(崇文门新世界百货店),"116.417726,39.897470",崇文门新世界百货1期5层,010-67447549,餐饮服务;中餐厅;火锅店,050117,,北京市,东城区,北京市,1,116.417726,39.89747
八爷涮肉(王府井·故宫店),"116.406340,39.915126",南河沿大街1号翠明庄宾馆主楼B1层,010-58580955;010-58580958,餐饮服务;中餐厅;火锅店,050117,东单,北京市,东城区,北京市,0,116.40634,39.915126
聚宝源(王府井店),"116.410385,39.913796",王府井大街253号百货大楼6层608,010-65060608;18311295902,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.410385,39.913796
四季民福烤鸭店(前门大栅栏店),"116.396582,39.895770",前门大栅栏街18号(1796商场二层同仁堂东侧),010-63158211;13021293012,餐饮服务;中餐厅;特色/地方风味餐厅,050118,珠市口,北京市,西城区,北京市,1,116.396582,39.89577
马克西姆餐厅(崇文门店),"116.417796,39.900439",崇文门西大街2号崇文门饭店2层,010-65121992;010-65122711,餐饮服务;外国餐厅;法式菜品餐厅,050204,花市,北京市,东城区,北京市,0,116.417796,39.900439
方砖厂69号炸酱面(王府世纪店),"116.407565,39.915887",东安门大街55号王府世纪一层108室,13020088912,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.407565,39.915887
陈记卤煮小肠(廊房二条店),"116.395313,39.896939",廊房二条82-84号(前门地铁站I西南口步行420米),18210023920,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,0,116.395313,39.896939
紫光园清真北京小吃(天安门店),"116.395612,39.899509",北京城区前门西大街正阳市场1号楼1层106,,餐饮服务;餐饮相关场所;餐饮相关,050000,,北京市,西城区,北京市,0,116.395612,39.899509
第六季原生态食材火锅自助餐厅(王府世纪店),"116.407270,39.915956",王府井东安大街55号一层105.106号,010-65241488;010-65241499,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.40727,39.915956
四季民福烤鸭店(故宫店),"116.402873,39.914525",南池子大街11号故宫东门旁(距趣拿步行780m),010-65267369;13521873487,餐饮服务;中餐厅;北京菜,050111,王府井,北京市,东城区,北京市,1,116.402873,39.914525
方砖厂69号炸酱面(前门鲜鱼口店),"116.399034,39.896227",北京城区鲜鱼口99号(前门大街),18514247217,餐饮服务;餐饮相关场所;餐饮相关,050000,,北京市,东城区,北京市,0,116.399034,39.896227
花家怡园(崇文门·哈德门广场店),"116.420070,39.899744",北京城区崇文门外大街8号院哈德门广场地下一层,010-67161126;010-67161128,餐饮服务;中餐厅;中餐厅,050100,花市,北京市,东城区,北京市,0,116.42007,39.899744
和平菓局(北京市百货大楼店),"116.410653,39.913967",王府井大街253号北京市百货大楼B2层,13739621861;18600003051;4000108898,餐饮服务;餐饮相关场所;餐饮相关,050000,东单,北京市,东城区,北京市,0,116.410653,39.913967
六必居(前门店),"116.397674,39.895848",前门粮食店街3号(前门地铁站I西南口步行360米),010-63035109,购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,060703|050000,珠市口,北京市,西城区,北京市,0,116.397674,39.895848
四季民福烤鸭店(故宫店),"116.402873,39.914525",南池子大街11号故宫东门旁(距趣拿步行780m),010-65267369;13521873487,餐饮服务;中餐厅;特色/地方风味餐厅,050118,王府井,北京市,东城区,北京市,0,116.402873,39.914525
局气(前门店),"116.397016,39.897718",前门西大街廊坊头条13号院5号楼3层,18600009107,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.397016,39.897718
魏家凉皮(协和店),"116.417733,39.911052",东单北大街69-12号(东单地铁站F东北口步行310米),15910280624,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.417733,39.911052
花家怡园(王府井·故宫店),"116.413495,39.914606",王府井东街8号澳门中心商场三层,010-51283326,餐饮服务;中餐厅;北京菜,050111,东单,北京市,东城区,北京市,0,116.413495,39.914606
海底捞火锅(王府井银泰in88店),"116.411779,39.916732",王府井大街银泰in88三层北侧311号,010-59785689;010-80949969,餐饮服务;中餐厅;火锅店,050117,东四,北京市,东城区,北京市,1,116.411779,39.916732
麦当劳(国帅宾馆店),"116.394180,39.899787",前门西大街正阳市场2号楼一层西侧部分商铺,010-83150517,餐饮服务;快餐厅;麦当劳,050302,,北京市,西城区,北京市,0,116.39418,39.899787
河沿肉饼(锡拉胡同店),"116.408555,39.916248",北京城区锡拉胡同14号(北京王府井阳光菜市场旁),010-65283828,餐饮服务;中餐厅;中餐厅,050100,王府井,北京市,东城区,北京市,0,116.408555,39.916248
叶叶菩提(前门旗舰店),"116.400637,39.895790",南晓顺胡同4号(前门地铁站G东南口步行420米),010-67027993;010-67027994,餐饮服务;中餐厅;中式素菜馆,050120,珠市口,北京市,东城区,北京市,1,116.400637,39.89579
巴奴毛肚火锅(北京王府井apm店),"116.411600,39.914837",王府井大街apm商场6楼633号商铺,010-65128805;13925852954;15856030183,餐饮服务;中餐厅;火锅店,050117,王府井,北京市,东城区,北京市,0,116.4116,39.914837
小大董(北京apm店),"116.412032,39.914376",王府井大街138号北京apm-C区5层518-525,17276734050,餐饮服务;中餐厅;北京菜,050111,东单,北京市,东城区,北京市,1,116.412032,39.914376
方砖厂69号炸酱面(前门西河沿店),"116.393787,39.898994",北京城区前门西河沿街106号,18610627877,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.393787,39.898994
都一处(鲜鱼口老字号美食街店),"116.398284,39.896168",前门大街38号(大栅栏东口),010-67021555;010-67024578;15711355878,餐饮服务;中餐厅;老字号,050116,,北京市,东城区,北京市,0,116.398284,39.896168
河沿肉饼(鲜鱼口老字号美食街店),"116.400027,39.896206",北京城区鲜鱼口街79号,010-69781528,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.400027,39.896206
明园餐厅·烤鸭·北京菜(王府井店),"116.407618,39.915546",东安门大街王府世纪大厦一层107,13020088963,餐饮服务;餐饮相关场所;餐饮相关,050000,灯市口,北京市,东城区,北京市,0,116.407618,39.915546
汉堡王(北京摩方),"116.417988,39.899816",崇文门外大街1号楼地下一层B1-01,13522506296,餐饮服务;快餐厅;快餐厅,050300,花市,北京市,东城区,北京市,0,116.417988,39.899816
东来顺饭庄(大栅栏店),"116.396888,39.896087",大栅栏商业街7号吉龙老栅栏商场2层,010-63165836,餐饮服务;中餐厅;火锅店,050117,,北京市,西城区,北京市,0,116.396888,39.896087
提督·TIDU(北京坊店),"116.394922,39.897546",坊廊坊头条21号院W9楼4层01号,010-83155166;010-83155188,餐饮服务;中餐厅;北京菜,050111,,北京市,西城区,北京市,0,116.394922,39.897546
全福德烤鸭店(故宫东门店),"116.403864,39.915351",北京城区东华门大街63号,18901198700,餐饮服务;餐饮相关场所;餐饮相关,050000,,北京市,东城区,北京市,0,116.403864,39.915351
聚宝源(王府井二店),"116.418086,39.912943",东城区东单北大街72号,010-65281350;17800433581,餐饮服务;餐饮相关场所;餐饮相关,050000,东单,北京市,东城区,北京市,0,116.418086,39.912943
很久以前羊肉串(王府井apm店),"116.412535,39.915113",王府井大街138号北京apm6层L607号,15011588923,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.412535,39.915113
麦当劳(新东安写字楼店),"116.412475,39.914739",王府井大街138号新东安广场地下一层麦当劳餐厅,010-65280665;010-85112915,餐饮服务;快餐厅;麦当劳,050302,东单,北京市,东城区,北京市,0,116.412475,39.914739
紫光园(王府井店),"116.410798,39.919095",王府井大街99号世纪大厦F1层,010-53658058,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.410798,39.919095
百年前门炙子烤肉(大栅栏店),"116.395958,39.896496",门框胡同23号(前门地铁站I西南口步行450米),18519814944,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.395958,39.896496
柴氏福海清真菜·烤鸭店,"116.396166,39.897031",北京城区前门廊坊二条胡同北京坊二期南侧(爆肚冯对面),010-83898089,餐饮服务;中餐厅;清真菜馆,050121,,北京市,西城区,北京市,0,116.396166,39.897031
清真·鸦儿李记·涮肉(花市店),"116.423566,39.897135",西花市大街80号3-5,010-67115835,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;清真菜馆,050117|050121,花市,北京市,东城区,北京市,0,116.423566,39.897135
京城九门轩烤鸭店(故宫店),"116.405971,39.915386",东华门大街11号,17812356385,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.405971,39.915386
北京胡同烤鸭店(前门店),"116.394858,39.898479",排子胡同17号(前门地铁站C西南口步行290米),010-63186682;13701392080,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,0,116.394858,39.898479
四季民福烤鸭店(王府井灯市口店),"116.408867,39.918414",北京城区灯市口西街32号东华饭店1楼,010-65135141;13269367120,餐饮服务;中餐厅;北京菜,050111,灯市口,北京市,东城区,北京市,0,116.408867,39.918414
京州涮·老北京铜锅涮羊肉(王府井故宫店),"116.407278,39.915632",东安门大街55号一层117,13020088953,餐饮服务;中餐厅;火锅店,050117,灯市口,北京市,东城区,北京市,0,116.407278,39.915632
京城第一羯(前门总店),"116.393352,39.899202",前门西河沿街67号速8酒店旁,010-66086588,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.393352,39.899202
麦当劳(北京apm店),"116.413094,39.915038",北京市王府井大街东街8号(金鱼胡同地铁站B东口步行160米),010-85112915;4008517517,餐饮服务;快餐厅;麦当劳,050302,东单,北京市,东城区,北京市,0,116.413094,39.915038
牛排家(北京王府井澳门中心店),"116.413505,39.914658",北京城区王府井东街8号澳门中心商场L118,13121544728;18518353738,餐饮服务;外国餐厅;法式菜品餐厅|餐饮服务;外国餐厅;牛扒店(扒房),050204|050211,东单,北京市,东城区,北京市,0,116.413505,39.914658
老北京炸酱面·烤鸭(前门店),"116.393321,39.899633",北京城区前门西大街正阳市场3号楼西侧一层老舍茶馆旁,010-83155558,餐饮服务;中餐厅;北京菜,050111,,北京市,西城区,北京市,0,116.393321,39.899633
小吊梨汤·北京菜·烤鸭(王府井银泰in88店),"116.411556,39.916114",王府井大街88号北京王府井银泰in88购物中心3F层,010-51078201,餐饮服务;中餐厅;中餐厅,050100,东四,北京市,东城区,北京市,0,116.411556,39.916114
Ms.Na私房菜·玫瑰烤鸭(北京坊店),"116.395300,39.898002",前门廊房头条21号院北京坊L4层,13910266801,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.3953,39.898002
尹三豆汁(天坛北门店),"116.412778,39.890500",东晓市街176号(天坛北门向北150米马路东侧),010-67056737;13810057581,餐饮服务;中餐厅;中餐厅,050100,,北京市,东城区,北京市,0,116.412778,39.8905
京城贝勒爷炙子烤肉,"116.394195,39.899005",北京城区前门西河沿街90-92号,17812320820,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.394195,39.899005
护国寺小吃(东单店),"116.418108,39.912849",王府井大街256号王府井步行街,18501150375,餐饮服务;中餐厅;中餐厅,050100,东单,北京市,东城区,北京市,0,116.418108,39.912849
门钉肉饼(前门大街店),"116.397887,39.896249",前门大街53号1-2层(前门地铁站I西南口步行290米),19838508866,餐饮服务;快餐厅;快餐厅,050300,,北京市,东城区,北京市,1,116.397887,39.896249
猛古里烤肉自助(银泰in88购物中心店),"116.411797,39.916045",王府井大街88号北京王府井银泰in883层,15811183350,餐饮服务;中餐厅;中餐厅,050100,东四,北京市,东城区,北京市,0,116.411797,39.916045
bluefrog蓝蛙(合景摩方购物中心店),"116.417904,39.899617",崇文门外大街1号合景摩方4层(崇文门地铁站H西南口旁),010-59258601;17300133635;18522514855,餐饮服务;外国餐厅;西餐厅(综合风味),050201,花市,北京市,东城区,北京市,0,116.417904,39.899617
比格比萨自助(搜秀店),"116.419247,39.896897",崇文门外大街40号搜秀城购物广场2层,010-67123205;15010962434,餐饮服务;外国餐厅;西餐厅(综合风味),050201,花市,北京市,东城区,北京市,0,116.419247,39.896897
京门南门铜锅涮肉(北京旗舰店),"116.409509,39.915307",王府井东安门大街32号,18510208059,餐饮服务;中餐厅;火锅店,050117,东单,北京市,东城区,北京市,0,116.409509,39.915307
八次方烤鸭店,"116.412892,39.917579",王府井大街74号王府井教堂东侧附属配楼一层北侧03门,010-65254393;010-85113823,餐饮服务;餐饮相关场所;餐饮相关,050000,东四,北京市,东城区,北京市,0,116.412892,39.917579
